MyUnknownColumn,Make,Model,Variant,Complete Name,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
345,Honda,Amaze,S Cvt Petrol,Honda Amaze S Cvt Petrol,763000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19,5,170,5,Automatic,2,942,1490,1540,13.83,22.92,2470,4.7
418,Honda,Amaze,V Cvt Petrol,Honda Amaze V Cvt Petrol,823000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19,5,170,5,Automatic,2,945,1490,1540,46.13,22.92,2470,4.7
520,Maruti Suzuki,Ertiga,Vxi At,Maruti Suzuki Ertiga Vxi At,936000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MUV,1690,4395,1735,5,18.69,4,165,7,Automatic,2,1170,1490,1540,31.3,29.55,2740,5.2
614,Maruti Suzuki,Ertiga,Zxi At,Maruti Suzuki Ertiga Zxi At,1013000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MPV,1685,4265,1695,5,18.69,4,165,7,Automatic,2,1180,1490,1540,41.33,31.36,2740,5.2
420,Hyundai,Venue,1,Hyundai Venue 1,826000,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.27,7,200,5,Manual,2,1785,1490,1540,66.67,43,2500,5.2
538,Hyundai,Venue,1,Hyundai Venue 1,959000,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.27,6,200,5,Manual,2,1785,1490,1540,14.91,114.67,2500,5.2
548,Hyundai,Venue,1,Hyundai Venue 1,974000,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.27,6,200,5,Manual,2,1785,1490,1540,20.53,114.67,2500,5.2
640,Hyundai,Venue,1,Hyundai Venue 1,1065000,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.27,6,200,5,Manual,3,1785,1490,1540,26.67,1141.33,2500,5.2
521,Hyundai,Venue,1,Hyundai Venue 1,940000,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.15,7,200,5,DCT,2,1785,1490,1540,34.04,43,2500,5.2
663,Hyundai,Venue,1,Hyundai Venue 1,1115500,998,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,18.15,7,200,5,DCT,2,1785,1490,1540,11.33,114.67,2500,5.2
270,Tata,Nexon,Xe,Tata Nexon Xe,695000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,14,113.33,2498,5.1
351,Tata,Nexon,Xm,Tata Nexon Xm,770000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,18.75,113.33,2498,5.1
424,Tata,Nexon,Xma,Tata Nexon Xma,830000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,43.2,113.33,2498,5.1
462,Tata,Nexon,Xz,Tata Nexon Xz,870000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,23.33,113.33,2498,5.1
529,Tata,Nexon,Xz Plus,Tata Nexon Xz Plus,950000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,16.25,113.33,2498,5.1
545,Tata,Nexon,Xz Plus Dual Tone,Tata Nexon Xz Plus Dual Tone,970000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,14.91,113.33,2498,5.1
612,Tata,Nexon,Xza Plus,Tata Nexon Xza Plus,1010000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,41.33,113.33,2498,5.1
619,Tata,Nexon,Xza Plus Dual Tone,Tata Nexon Xza Plus Dual Tone,1030000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,11.71,113.33,2498,5.1
625,Tata,Nexon,Xz Plus (O),Tata Nexon Xz Plus (O),1040000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,26.67,113.33,2498,5.1
637,Tata,Nexon,Xz Plus (O) Dual Tone,Tata Nexon Xz Plus (O) Dual Tone,1060000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,26.67,113.33,2498,5.1
655,Tata,Nexon,Xza Plus (O),Tata Nexon Xza Plus (O),1100000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,9.83,113.33,2498,5.1
666,Tata,Nexon,Xza Plus (O) Dual Tone,Tata Nexon Xza Plus (O) Dual Tone,1120000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Automatic,2,1785,1490,1540,11.33,113.33,2498,5.1
226,Hyundai,Venue,1.2,Hyundai Venue 1.2,655000,1197,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,17.52,5,200,5,Manual,2,1785,1490,1540,21.69,28.18,2500,5.2
302,Hyundai,Venue,1.2,Hyundai Venue 1.2,725000,1197,4,4,FWD,In-line,BS IV,45,Petrol,SUV,1590,3995,1770,5,17.52,5,200,5,Manual,2,1785,1490,1540,13.72,28.75,2500,5.2
760,Hyundai,Creta,1.6,Hyundai Creta 1.6,1336033,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,17.01,6,190,5,Automatic,2,1785,1490,1540,33,136.84,2590,5.2
805,Hyundai,Creta,1.6,Hyundai Creta 1.6,1527395,1582,4,4,FWD,In-line,BS IV,55,Diesel,SUV,1630,4270,1780,5,17.01,6,190,5,Automatic,2,1785,1490,1540,13.83,136.84,2590,5.2
569,Kia,Seltos,1.5,Kia Seltos 1.5,989000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Manual,2,1785,1490,1540,31.09,32,2610,5.3
617,Kia,Seltos,1.5,Kia Seltos 1.5,1029000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Manual,2,1785,1490,1540,11.71,32,2610,5.3
678,Kia,Seltos,1.5,Kia Seltos 1.5,1149000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Manual,4,1785,1490,1540,14.05,32,2610,5.3
749,Kia,Seltos,1.5,Kia Seltos 1.5,1309000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Manual,4,1785,1490,1540,6.94,32,2610,5.3
777,Kia,Seltos,1.5,Kia Seltos 1.5,1409000,1497,4,4,FWD,In-line,BS VI,60,Petrol,SUV,1645,4315,1800,5,16.8,6,190,5,Automatic,4,1785,1490,1540,22.5,32,2610,5.3
834,Kia,Seltos,1.4,Kia Seltos 1.4,1629000,1353,4,4,FWD,In-line,BS VI,50,Petrol,SUV,1645,4315,1800,5,16.5,7,190,5,DCT,4,1785,1490,1540,97.88,161.33,2610,5.3
