,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
307,Honda,Amaze,V Mt Petrol,733000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19.5,5,170,5,Manual,2,921,1490,1540,13.83,22.92,2470,4.7
308,Maruti Suzuki,Baleno,1.2,733412,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1510,3995,1745,5,21.4,5,170,5,Manual,2,870,1515,1525,13.83,0,2520,4.9
309,Hyundai,Xcent,1.2,733734,1197,4,4,FWD,In-line,BS IV,43,Petrol,Sedan,1520,3995,1660,4,17.36,4,165,5,Automatic,2,1785,1479,1493,13.83,19,2425,5.2
310,Volkswagen,Polo,Trendline 1.5L (D),734500,1498,4,4,FWD,In-line,BS IV,45,Diesel,Hatchback,1469,3971,1682,5,20.14,5,165,5,Manual,2,1033,1460,1456,22.5,153.33,2469,4.97
311,Toyota,Platinum Etios,Gd,734700,1364,4,2,FWD,In-line,BS IV,45,Diesel,Sedan,1510,4369,1695,4,23.59,5,170,5,Manual,2,1020,1475,1485,19.22,94.44,2550,4.9
312,Ford,Aspire,1.5,737400,1498,4,4,FWD,In-line,BS IV,40,Diesel,Sedan,1525,3995,1704,4,26.1,5,165,5,Manual,2,1053-1080 kg,1490,1540,32,122.86,2490,5.2
313,Ford,Aspire,1.2,737400,1194,4,4,FWD,In-line,BS IV,42,Petrol,Sedan,1525,3995,1704,4,19.4,5,165,5,Manual,2,1016-1043 kg,1490,1540,32,28.24,2490,5.2
314,Premier,Rio,Lx,739000,1489,4,4,FWD,In-line,BS IV,46,Diesel,SUV,1730,3970,1570,5,16,5,200,5,Manual,2,1145,1305,1310,19.22,67.56,2420,4.7
315,Premier,Rio,Crdi4,739000,1248,4,4,FWD,In-line,BS IV,46,Diesel,SUV,1730,3970,1570,5,23.7,5,200,5,Manual,2,1145,1305,1310,32,101.67,2420,4.7
316,Fiat,Urban Cross,1.3,739074,1248,4,4,FWD,In-line,BS IV,45,Diesel,Crossover,1542,3989,1706,5,20,5,165,5,Manual,2,1215,1490,1540,19.22,104.5,2510,5.2
